50,0.016130856916893636
100,0.015436603831042594
150,0.017864693774469153
200,0.021899137178168316
250,0.021196545764281684
300,0.020709437067980445
350,0.024354410323128853
400,0.01982660343096451
450,0.01832561182520291
500,0.01641508682420422
550,0.013260741409852474
600,0.01647078648426914
650,0.021227661520387475
700,0.025746960701428262
750,0.030745555916929894
800,0.03598281477612665
850,0.04183239969716437
900,0.04690488815378424
950,0.060508520127682285
