model,train_split,test_split,train_accuracy_pct,validation_accuracy,test_accuracy,precision,recall,f1_score
cnn1d_intra,intra_train,intra_test,95.67,44.79,49.22,51.86,49.22,50.06
cnn1d_cross,cross_train,cross_test1,98.77,88.46,53.12,60.2,53.12,54.27
cnn1d_cross,cross_train,cross_test2,98.77,88.46,48.44,52.54,48.44,47.64
cnn1d_cross,cross_train,cross_test3,98.77,88.46,62.5,66.73,62.5,62.86
eegnet_intra,intra_train,intra_test,76.2,50.0,40.62,35.66,40.62,36.01
eegnet_cross,cross_train,cross_test1,95.47,88.46,46.09,55.09,46.09,46.21
eegnet_cross,cross_train,cross_test2,95.47,88.46,46.09,64.56,46.09,46.13
eegnet_cross,cross_train,cross_test3,95.47,88.46,60.16,69.27,60.16,60.54
eegnet_tuned_intra,intra_train,intra_test,90.62,42.71,46.09,45.07,46.09,44.12
eegnet_tuned_cross,cross_train,cross_test1,99.75,88.94,45.31,58.14,45.31,43.28
eegnet_tuned_cross,cross_train,cross_test2,99.75,88.94,36.33,56.36,36.33,35.51
eegnet_tuned_cross,cross_train,cross_test3,99.75,88.94,71.09,78.53,71.09,69.13
