model,window_size,epochs,batch_size,val_mse,val_mae
GRU,500,20,32,0.0018632235642542753,0.029643151577886037
GRU,505,20,32,0.0028671554875844348,0.041574315879460186
GRU,510,20,32,0.001396285430466689,0.026003881180616122
GRU,515,20,32,0.001990550423992378,0.03619662332077755
GRU,520,20,32,0.001404456233479634,0.025256757901451394
GRU,525,20,32,0.004412924974071113,0.04866138970483631
GRU,530,20,32,0.0017949004673876276,0.02679936940994102
GRU,535,20,32,0.0024388910623598077,0.030279031337742603
GRU,540,20,32,0.0013992612565883588,0.025717109368294914
GRU,545,20,32,0.0015870281571362876,0.02806431449102195
GRU,550,20,32,0.0029551000083704315,0.04399089755130082
GRU,555,20,32,0.005065675939656831,0.05363904238146738
GRU,560,20,32,0.0026383040682988676,0.036491265728101914
GRU,565,20,32,0.004665262656682427,0.05508570694047479
GRU,570,20,32,0.004070185129581428,0.052588201968781965
GRU,575,20,32,0.005487905741693805,0.057303411413873656
GRU,580,20,32,0.007544957717533546,0.06674900322670665
GRU,585,20,32,0.005924454067341701,0.06337417702733565
GRU,590,20,32,0.008214970281275604,0.07254021942009832
GRU,595,20,32,0.008259417707035244,0.0759530687941092
GRU,600,20,32,0.009767770431522643,0.08006094819700471
